claim_id,description
1,"""My car was rear-ended at a traffic signal and the bumper is damaged."""
2,"""A tree fell on my house during a storm and damaged the roof."""
3,"""A customer slipped on a wet floor in my store and is demanding compensation."""
4,"""My parked vehicle was hit overnight and the side mirror is broken."""
5,"""There was a kitchen fire that caused smoke damage throughout my apartment."""
6,"""The other driver ran a red light and totaled my vehicle. I need immediate assistance."""
7,"""A visitor claims they were injured on my property and may sue me."""
8,"""Water leaked from an upstairs apartment and damaged my furniture."""
9,"""Someone scratched my car in a parking lot. I am very upset about the delay in processing."""
10,"""My vehicle and garage were both damaged during a severe hailstorm."""
